label,dataset,domain,measure_class,Structure,canonical_structure,Measure,Unit,structure_qualifier,structure_source,is_measurement,note
Extractive_foraging_reduced_report_count (reports),Behaviour,behaviour & cognition,behavioural_flexibility,,,Extractive_foraging_reduced_report_count,reports,,,TRUE,Merge-file row: measure_class reused verbatim from the merge.
Extractive_foraging_report_count (reports),Behaviour,behaviour & cognition,behavioural_flexibility,,,Extractive_foraging_report_count,reports,,,TRUE,Merge-file row: measure_class reused verbatim from the merge.
Innovation_reduced_report_count (reports),Behaviour,behaviour & cognition,behavioural_flexibility,,,Innovation_reduced_report_count,reports,,,TRUE,Merge-file row: measure_class reused verbatim from the merge.
Innovation_report_count (reports),Behaviour,behaviour & cognition,behavioural_flexibility,,,Innovation_report_count,reports,,,TRUE,Merge-file row: measure_class reused verbatim from the merge.
Social_learning_report_count (reports),Behaviour,behaviour & cognition,behavioural_flexibility,,,Social_learning_report_count,reports,,,TRUE,Merge-file row: measure_class reused verbatim from the merge.
Tool_use_reduced_report_count (reports),Behaviour,behaviour & cognition,behavioural_flexibility,,,Tool_use_reduced_report_count,reports,,,TRUE,Merge-file row: measure_class reused verbatim from the merge.
Tool_use_report_count (reports),Behaviour,behaviour & cognition,behavioural_flexibility,,,Tool_use_report_count,reports,,,TRUE,Merge-file row: measure_class reused verbatim from the merge.
Dexterity (1-7 scale),Behaviour,behaviour & cognition,dexterity,,,Dexterity,1-7 scale,,,TRUE,Merge-file row: measure_class reused verbatim from the merge.
Hand–eye,EvoM1 traits,behaviour & cognition,dexterity,,,HandEyeCoordination,ordinal,,,TRUE,"Iwaniuk et al. 1999 hand-eye coordination score. Overlaps Dexterity on all 25 species but on a DIFFERENT scale (2/25 value agreement), so not superseded. Source table: ____EvoM1_TraitTable/corticospinaltract_etc.xlsx — Iwaniuk et al. 1999 corticospinal-tract & ecology table."
Handedness_index_mean (HI),Behaviour,behaviour & cognition,handedness,,,Handedness_index_mean,HI,,,TRUE,Merge-file row: measure_class reused verbatim from the merge.
Handedness_strength_mean (abs(HI)),Behaviour,behaviour & cognition,handedness,,,Handedness_strength_mean (abs(HI)),,,,TRUE,Merge-file row: measure_class reused verbatim from the merge.
Extractive_foraging (category),Behaviour,behaviour & cognition,manipulation,,,Extractive_foraging,category,,,TRUE,Merge-file row: measure_class reused verbatim from the merge.
Manipulation_complexity (score),Behaviour,behaviour & cognition,manipulation,,,Manipulation_complexity,score,,,TRUE,Merge-file row: measure_class reused verbatim from the merge.
Tool_Manufacture (category),Behaviour,behaviour & cognition,manipulation,,,Tool_Manufacture,category,,,TRUE,Merge-file row: measure_class reused verbatim from the merge.
Tool_use (category),Behaviour,behaviour & cognition,manipulation,,,Tool_use,category,,,TRUE,Merge-file row: measure_class reused verbatim from the merge.
True_Tool_Use (category),Behaviour,behaviour & cognition,manipulation,,,True_Tool_Use,category,,,TRUE,Merge-file row: measure_class reused verbatim from the merge.
Population_group_size,EvoM1 traits,behaviour & cognition,sociality,,,PopulationGroupSize.count,count,,,TRUE,Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.
Social_group_size,EvoM1 traits,behaviour & cognition,sociality,,,SocialGroupSize.count,count,,,TRUE,Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.
Social_system,EvoM1 traits,behaviour & cognition,sociality,,,SocialSystem,category,,,TRUE,Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.
VocalRepertoire (count),Behaviour,behaviour & cognition,vocalization,,,VocalRepertoire,count,,,TRUE,Merge-file row: measure_class reused verbatim from the merge.
Adult_head_body_length_mm,EvoM1 traits,body size,body_length,Body,Body,Length.mm,mm,,_keys/anatomy_reference.csv,TRUE,Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.
Body weight kg,EvoM1 traits,body size,mass,Body,Body,Mass.kg,kg,,_keys/anatomy_reference.csv,TRUE,Heffner & Masterton 1975 printing; superseded by the body_ecology merge (kg -> g). Source table: ____EvoM1_TraitTable/dexterity_corticospinaltract.xlsx — Heffner & Masterton 1975 corticospinal-tract table.
Body_Mass (g),Body & ecology,body size,mass,Body,Body,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,Merge-file row: measure_class reused verbatim from the merge.
Body_weight,EvoM1 traits,body size,mass,Body,Body,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,Superseded by the body_ecology merge; kept as fallback. Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.
Brain_Mass (g),Brain mass,brain structure & size,mass,WholeBrain,WholeBrain,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,Merge-file row: measure_class reused verbatim from the merge.
Brain_weight_g,EvoM1 traits,brain structure & size,mass,WholeBrain,WholeBrain,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,Superseded by the brain_mass merge (see variable_canonical.csv); kept as fallback. Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table.
Neonate_brain_weight_g,EvoM1 traits,brain structure & size,mass,WholeBrain,WholeBrain,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,"Neonatal brain mass — a developmental value, not pooled with adult Brain_Mass. Source table: ____EvoM1_TraitTable/glia_gyrification.xlsx — Lewitus et al. 2014 glia / gyrification / life-history trait table."
SpinalCord_p.C.CNS.mass,Cell counts,brain structure & size,structure_fraction,SpinalCord,SpinalCord,p.C.CNS.mass,%,,_keys/anatomy_reference.csv,TRUE,
SpinalCord_Length.mm,Cell counts,brain structure & size,structure_length,SpinalCord,SpinalCord,Length.mm,mm,,_keys/anatomy_reference.csv,TRUE,
Amygdala_Mass.g,Cell counts,brain structure & size,structure_mass,Amygdala,Amygdala,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,
Body_Mass.g,Brain-structure volumes,brain structure & size,structure_mass,Body,Body,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,
Body_Mass.g,Cell counts,brain structure & size,structure_mass,Body,Body,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,
Brain_Mass.mg,Brain-structure volumes,brain structure & size,structure_mass,WholeBrain,WholeBrain,Mass.mg,mg,,_keys/variable_catalog.csv,TRUE,"Whole-brain mass in mg carried by the volumes merge. Superseded by the brain_mass merge (mg -> g, factor 0.001); kept as fallback. Does not decompose as <structure>_<code> because ""Mass.mg"" is not in the anatomy reference measure vocabulary."
Cerebellum_Mass.g,Cell counts,brain structure & size,structure_mass,Cerebellum,Cerebellum,Mass.g,g,,_keys/anatomy_reference.csv,TRUE,
