Species,Species_printed,Compilations,n_rows,note
Canis lupus familiaris,Canis,Kaufman__2004,76,Kaufman genus label; binomial assigned by standard-lab-species convention
Canis lupus familiaris,dog,Karbowski__2007,1,
Capra aegagrus hircus,goat,Karbowski__2007,1,
Equus caballus,Equus,Kaufman__2004,2,Kaufman genus label; binomial assigned by standard-lab-species convention
Felis catus,Felis,Kaufman__2004,45,Kaufman genus label; binomial assigned by standard-lab-species convention
Felis catus,cat,Karbowski__2007,48,
Homo sapiens,Homo,Kaufman__2004,609,Kaufman genus label; binomial assigned by standard-lab-species convention
Homo sapiens,Homo sapiens,Heiss_etal_2004,26,
Homo sapiens,human,Karbowski__2007,53,
Lepus sp.,Lepus,Kaufman__2004,18,Kaufman genus label; binomial assigned by standard-lab-species convention
Macaca fascicularis,M fascic,Kaufman__2004,36,
Macaca mulatta,M mulatta,Kaufman__2004,82,
Macaca mulatta,monkey,Karbowski__2007,57,
Meriones unguiculatus,Gerbil,Kaufman__2004,6,Kaufman genus label; binomial assigned by standard-lab-species convention
Meriones unguiculatus,Meriones,Kaufman__2004,23,Kaufman genus label; binomial assigned by standard-lab-species convention
Mus musculus,Mus,Kaufman__2004,76,Kaufman genus label; binomial assigned by standard-lab-species convention
Mus musculus,mouse,Karbowski__2007,26,
Oryctolagus cuniculus,rabbit,Karbowski__2007,18,
Ovis aries,Ovis,Kaufman__2004,7,Kaufman genus label; binomial assigned by standard-lab-species convention
Ovis aries,sheep,Karbowski__2007,2,
Papio anubis,Papio,Kaufman__2004,82,Kaufman genus label; binomial assigned by standard-lab-species convention
Papio anubis,baboon,Karbowski__2007,14,
Rattus norvegicus,Rattus,Kaufman__2004,616,Kaufman genus label; binomial assigned by standard-lab-species convention
Rattus norvegicus,rat,Karbowski__2007,99,
Saimiri sciureus,Saimiri,Kaufman__2004,12,Kaufman genus label; binomial assigned by standard-lab-species convention
Spermophilus tridecemlineatus,squirrel,Karbowski__2007,1,
Sus scrofa,Sus,Kaufman__2004,24,Kaufman genus label; binomial assigned by standard-lab-species convention
