"data_file","data_filename","candidate_script","match_type","exact_filename_match","stem_match","matched_line_numbers","context"
"__merging_volumes/_audit_missing_structures.csv","_audit_missing_structures.csv","__merging_volumes/_audit_missing_structures.R","likely writer",TRUE,TRUE,"5;118","4: # columns defined in the paper against those actually mapped into the merge. | 5: # Output: _audit_missing_structures.csv (one row per defined volume column). | 6: # || 117:  | 118: out <- file.path(repo, ""__merging_volumes"", ""_audit_missing_structures.csv"") | 119: write_csv(audit, out)"
"__Public/comparative-data/10.1038%2Fs41598-018-24331-0_Figure3A.tsv","10.1038%2Fs41598-018-24331-0_Figure3A.tsv","Kochiyama_etal_2018/Kochiyama_etal_2018_Figure3A.R","likely writer",TRUE,TRUE,"46","45: write.csv(clean, paste0(item_name, "".csv""), row.names = FALSE) | 46: write.table(clean, ""10.1038%2Fs41598-018-24331-0_Figure3A.tsv"", sep = ""\t"", row.names = FALSE, quote = FALSE) | 47: message(item_name, "": "", nrow(clean), "" rows"")"
"Kochiyama_etal_2018/10.1038%2Fs41598-018-24331-0_Figure3A.tsv","10.1038%2Fs41598-018-24331-0_Figure3A.tsv","Kochiyama_etal_2018/Kochiyama_etal_2018_Figure3A.R","likely writer",TRUE,TRUE,"46","45: write.csv(clean, paste0(item_name, "".csv""), row.names = FALSE) | 46: write.table(clean, ""10.1038%2Fs41598-018-24331-0_Figure3A.tsv"", sep = ""\t"", row.names = FALSE, quote = FALSE) | 47: message(item_name, "": "", nrow(clean), "" rows"")"
"__Public/comparative-data/10.1038%2Fs41598-018-24331-0_Figure3B.tsv","10.1038%2Fs41598-018-24331-0_Figure3B.tsv","Kochiyama_etal_2018/Kochiyama_etal_2018_Figure3B.R","likely writer",TRUE,TRUE,"41","40: write.csv(clean, paste0(item_name, "".csv""), row.names = FALSE) | 41: write.table(clean, ""10.1038%2Fs41598-018-24331-0_Figure3B.tsv"", sep = ""\t"", row.names = FALSE, quote = FALSE) | 42: message(item_name, "": "", nrow(clean), "" rows"")"
"Kochiyama_etal_2018/10.1038%2Fs41598-018-24331-0_Figure3B.tsv","10.1038%2Fs41598-018-24331-0_Figure3B.tsv","Kochiyama_etal_2018/Kochiyama_etal_2018_Figure3B.R","likely writer",TRUE,TRUE,"41","40: write.csv(clean, paste0(item_name, "".csv""), row.names = FALSE) | 41: write.table(clean, ""10.1038%2Fs41598-018-24331-0_Figure3B.tsv"", sep = ""\t"", row.names = FALSE, quote = FALSE) | 42: message(item_name, "": "", nrow(clean), "" rows"")"
"__Public/comparative-data/10.1038%2Fs41598-018-24331-0_FossilSpecimensText.tsv","10.1038%2Fs41598-018-24331-0_FossilSpecimensText.tsv","Kochiyama_etal_2018/Kochiyama_etal_2018_FossilSpecimensText.R","likely writer",FALSE,TRUE,"102","101: if (is.na(enc) || !nzchar(enc)) | 102:   enc <- ""10.1038%2Fs41598-018-24331-0_FossilSpecimensText""   # proposed (add a registry row) | 103: if (dir.exists(path.expand(tsv_dir))) {"
"Ashwell__2020/Ashwell__2020_SupplementaryTable.csv","Ashwell__2020_SupplementaryTable.csv","Ashwell__2020/Ashwell__2020_SupplementaryTable.R","likely writer",TRUE,TRUE,"29;65","28:  | 29: raw <- read_excel(""Ashwell__2020_SupplementaryTable_snapshot.xlsx"", col_types = ""text"") | 30:  || 64:         n_summary_dropped, "" mean/SD summary rows dropped)"") | 65: write.csv(clean, ""Ashwell__2020_SupplementaryTable.csv"", row.names = FALSE) | 66: "
"BarbeitoAndres_etal_2019/BarbeitoAndres_etal_2019_celldensity_snapshot.csv","BarbeitoAndres_etal_2019_celldensity_snapshot.csv","BarbeitoAndres_etal_2019/BarbeitoAndres_etal_2019.R","likely writer",FALSE,TRUE,"96","95: write_csv_tsv(n2$snapshot, ""BarbeitoAndres_etal_2019_cellnumber_snapshot"") | 96: write_csv_tsv(n3$snapshot, ""BarbeitoAndres_etal_2019_celldensity_snapshot"") | 97: "
"BarbeitoAndres_etal_2019/BarbeitoAndres_etal_2019_celldensity_snapshot.tsv","BarbeitoAndres_etal_2019_celldensity_snapshot.tsv","BarbeitoAndres_etal_2019/BarbeitoAndres_etal_2019.R","likely writer",FALSE,TRUE,"96","95: write_csv_tsv(n2$snapshot, ""BarbeitoAndres_etal_2019_cellnumber_snapshot"") | 96: write_csv_tsv(n3$snapshot, ""BarbeitoAndres_etal_2019_celldensity_snapshot"") | 97: "
"BarbeitoAndres_etal_2019/BarbeitoAndres_etal_2019_celldensity.csv","BarbeitoAndres_etal_2019_celldensity.csv","BarbeitoAndres_etal_2019/BarbeitoAndres_etal_2019.R","likely writer",FALSE,TRUE,"96;109","95: write_csv_tsv(n2$snapshot, ""BarbeitoAndres_etal_2019_cellnumber_snapshot"") | 96: write_csv_tsv(n3$snapshot, ""BarbeitoAndres_etal_2019_celldensity_snapshot"") | 97:  || 108: write_csv_tsv(barbeito_cellnumber,  ""BarbeitoAndres_etal_2019_cellnumber"") | 109: write_csv_tsv(barbeito_celldensity, ""BarbeitoAndres_etal_2019_celldensity"") | 110: write_csv_tsv(tidy,                 ""BarbeitoAndres_etal_2019_tidy"")"
"BarbeitoAndres_etal_2019/BarbeitoAndres_etal_2019_celldensity.tsv","BarbeitoAndres_etal_2019_celldensity.tsv","BarbeitoAndres_etal_2019/BarbeitoAndres_etal_2019.R","likely writer",FALSE,TRUE,"96;109","95: write_csv_tsv(n2$snapshot, ""BarbeitoAndres_etal_2019_cellnumber_snapshot"") | 96: write_csv_tsv(n3$snapshot, ""BarbeitoAndres_etal_2019_celldensity_snapshot"") | 97:  || 108: write_csv_tsv(barbeito_cellnumber,  ""BarbeitoAndres_etal_2019_cellnumber"") | 109: write_csv_tsv(barbeito_celldensity, ""BarbeitoAndres_etal_2019_celldensity"") | 110: write_csv_tsv(tidy,                 ""BarbeitoAndres_etal_2019_tidy"")"
"BarbeitoAndres_etal_2019/BarbeitoAndres_etal_2019_cellnumber_snapshot.csv","BarbeitoAndres_etal_2019_cellnumber_snapshot.csv","BarbeitoAndres_etal_2019/BarbeitoAndres_etal_2019.R","likely writer",FALSE,TRUE,"95","94: n3 <- parse_cell(55:69, ""cell_density"", ""cells_per_mg (as published; verify against paper)"") | 95: write_csv_tsv(n2$snapshot, ""BarbeitoAndres_etal_2019_cellnumber_snapshot"") | 96: write_csv_tsv(n3$snapshot, ""BarbeitoAndres_etal_2019_celldensity_snapshot"")"
"BarbeitoAndres_etal_2019/BarbeitoAndres_etal_2019_cellnumber_snapshot.tsv","BarbeitoAndres_etal_2019_cellnumber_snapshot.tsv","BarbeitoAndres_etal_2019/BarbeitoAndres_etal_2019.R","likely writer",FALSE,TRUE,"95","94: n3 <- parse_cell(55:69, ""cell_density"", ""cells_per_mg (as published; verify against paper)"") | 95: write_csv_tsv(n2$snapshot, ""BarbeitoAndres_etal_2019_cellnumber_snapshot"") | 96: write_csv_tsv(n3$snapshot, ""BarbeitoAndres_etal_2019_celldensity_snapshot"")"
"BarbeitoAndres_etal_2019/BarbeitoAndres_etal_2019_cellnumber.csv","BarbeitoAndres_etal_2019_cellnumber.csv","BarbeitoAndres_etal_2019/BarbeitoAndres_etal_2019.R","likely writer",FALSE,TRUE,"95;108","94: n3 <- parse_cell(55:69, ""cell_density"", ""cells_per_mg (as published; verify against paper)"") | 95: write_csv_tsv(n2$snapshot, ""BarbeitoAndres_etal_2019_cellnumber_snapshot"") | 96: write_csv_tsv(n3$snapshot, ""BarbeitoAndres_etal_2019_celldensity_snapshot"") || 107: write_csv_tsv(barbeito_volumes,     ""BarbeitoAndres_etal_2019_volumes"") | 108: write_csv_tsv(barbeito_cellnumber,  ""BarbeitoAndres_etal_2019_cellnumber"") | 109: write_csv_tsv(barbeito_celldensity, ""BarbeitoAndres_etal_2019_celldensity"")"
