"script","status","error","start_time","end_time","elapsed_seconds"
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/____EvoM1_TraitTable/EvoM1_read_cellcounts_data.R","SUCCESS","","2026-07-24 15:59:45.584933","2026-07-24 15:59:47.48141",1.89647698402405
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/____EvoM1_TraitTable/EvoM1_read_dexterity_baker.R","FAILED","Error in data.frame(species_sci = vapply(d$Species, resolve, character(1)),  : 
  arguments imply differing number of rows: 34, 0
Execution halted","2026-07-24 15:59:47.630212","2026-07-24 15:59:48.446337",0.81612491607666
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/____EvoM1_TraitTable/EvoM1_read_dexterity_corticospinal_eco.R","FAILED","── Attaching core tidyverse packages ──────────────────────── tidyverse 2.0.0 ──
✔ dplyr     1.2.1     ✔ readr     2.2.0
✔ forcats   1.0.1     ✔ stringr   1.6.0
✔ ggplot2   4.0.3     ✔ tibble    3.3.1
✔ lubridate 1.9.5     ✔ tidyr     1.3.2
✔ purrr     1.2.2     
── Conflicts ────────────────────────────────────────── tidyverse_conflicts() ──
✖ dplyr::filter() masks stats::filter()
✖ dplyr::lag()    masks stats::lag()
ℹ Use the conflicted package (<http://conflicted.r-lib.org/>) to force all conflicts to become errors
Error in data.frame(species_sci = Iwaniuk_etal_1999_Table1$species_sci,  : 
  arguments imply differing number of rows: 34, 0
Calls: write_xlsx -> is.data.frame -> data.frame
Execution halted","2026-07-24 15:59:48.451506","2026-07-24 15:59:49.643999",1.19249320030212
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/____EvoM1_TraitTable/EvoM1_read_dexterity_corticospinal.R","FAILED","── Attaching core tidyverse packages ──────────────────────── tidyverse 2.0.0 ──
✔ dplyr     1.2.1     ✔ readr     2.2.0
✔ forcats   1.0.1     ✔ stringr   1.6.0
✔ ggplot2   4.0.3     ✔ tibble    3.3.1
✔ lubridate 1.9.5     ✔ tidyr     1.3.2
✔ purrr     1.2.2     
── Conflicts ────────────────────────────────────────── tidyverse_conflicts() ──
✖ dplyr::filter() masks stats::filter()
✖ dplyr::lag()    masks stats::lag()
ℹ Use the conflicted package (<http://conflicted.r-lib.org/>) to force all conflicts to become errors
Error in data.frame(species_sci = Heffner_Masterton_1975_TableI$species_sci,  : 
  arguments imply differing number of rows: 34, 0
Calls: write_xlsx -> is.data.frame -> data.frame
Execution halted","2026-07-24 15:59:49.657971","2026-07-24 15:59:50.702729",1.04475808143616
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/____EvoM1_TraitTable/EvoM1_read_diet.R","SUCCESS","","2026-07-24 15:59:50.714333","2026-07-24 15:59:51.393139",0.678805828094482
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/____EvoM1_TraitTable/EvoM1_read_gait.R","SUCCESS","","2026-07-24 15:59:51.399828","2026-07-24 15:59:52.068921",0.669093132019043
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/____EvoM1_TraitTable/EvoM1_read_gyrification_etc.R","FAILED","── Attaching core tidyverse packages ──────────────────────── tidyverse 2.0.0 ──
✔ dplyr     1.2.1     ✔ readr     2.2.0
✔ forcats   1.0.1     ✔ stringr   1.6.0
✔ ggplot2   4.0.3     ✔ tibble    3.3.1
✔ lubridate 1.9.5     ✔ tidyr     1.3.2
✔ purrr     1.2.2     
── Conflicts ────────────────────────────────────────── tidyverse_conflicts() ──
✖ dplyr::filter() masks stats::filter()
✖ dplyr::lag()    masks stats::lag()
ℹ Use the conflicted package (<http://conflicted.r-lib.org/>) to force all conflicts to become errors
Error in fix.by(by.x, x) : 'by' must specify a uniquely valid column
Calls: merge -> merge.data.frame -> fix.by
Execution halted","2026-07-24 15:59:52.071439","2026-07-24 15:59:53.172109",1.10066986083984
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/____EvoM1_TraitTable/EvoM1_read_handedness.R","FAILED","Error in data.frame(species_sci = vapply(d$Species, resolve, character(1)),  : 
  arguments imply differing number of rows: 34, 0
Execution halted","2026-07-24 15:59:53.176288","2026-07-24 15:59:53.969845",0.793557167053223
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/____EvoM1_TraitTable/EvoM1_read_ILAs.R","FAILED","── Attaching core tidyverse packages ──────────────────────── tidyverse 2.0.0 ──
✔ dplyr     1.2.1     ✔ readr     2.2.0
✔ forcats   1.0.1     ✔ stringr   1.6.0
✔ ggplot2   4.0.3     ✔ tibble    3.3.1
✔ lubridate 1.9.5     ✔ tidyr     1.3.2
✔ purrr     1.2.2     
── Conflicts ────────────────────────────────────────── tidyverse_conflicts() ──
✖ dplyr::filter() masks stats::filter()
✖ dplyr::lag()    masks stats::lag()
ℹ Use the conflicted package (<http://conflicted.r-lib.org/>) to force all conflicts to become errors
Error in `rename()`:
! Can't rename columns that don't exist.
✖ Column `Scientific name` doesn't exist.
Backtrace:
     ▆
  1. ├─dplyr::rename(data, Species = `Scientific name`)
  2. ├─dplyr:::rename.data.frame(data, Species = `Scientific name`)
  3. │ └─tidyselect::eval_rename(expr(c(...)), .data)
  4. │   └─tidyselect:::rename_impl(...)
  5. │     └─tidyselect:::eval_select_impl(...)
  6. │       ├─tidyselect:::with_subscript_errors(...)
  7. │       │ └─base::withCallingHandlers(...)
  8. │       └─tidyselect:::vars_select_eval(...)
  9. │         └─tidyselect:::walk_data_tree(expr, data_mask, context_mask)
 10. │           └─tidyselect:::eval_c(expr, data_mask, context_mask)
 11. │             └─tidyselect:::reduce_sels(node, data_mask, context_mask, init = init)
 12. │               └─tidyselect:::walk_data_tree(new, data_mask, context_mask)
 13. │                 └─tidyselect:::as_indices_sel_impl(...)
 14. │                   └─tidyselect:::as_indices_impl(...)
 15. │                     └─tidyselect:::chr_as_locations(x, vars, call = call, arg = arg)
 16. │                       └─vctrs::vec_as_location(...)
 17. └─vctrs (local) `<fn>`() at vctrs/R/subscript-loc.R:84:3
 18.   └─vctrs:::stop_subscript_oob(...)
 19.     └─vctrs:::stop_subscript(...) at vctrs/R/subscript-loc.R:503:3
 20.       └─rlang::abort(...) at vctrs/R/subscript.R:150:3
Execution halted","2026-07-24 15:59:53.978157","2026-07-24 15:59:55.213085",1.23492789268494
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/____EvoM1_TraitTable/EvoM1_read_locomotion.R","SUCCESS","","2026-07-24 15:59:55.218934","2026-07-24 15:59:56.132907",0.913972854614258
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/____EvoM1_TraitTable/EvoM1_read_manipulation.R","FAILED","Error in data.frame(species_sci = vapply(d$Species, resolve, character(1)),  : 
  arguments imply differing number of rows: 34, 0
Execution halted","2026-07-24 15:59:56.136445","2026-07-24 15:59:56.822507",0.686061859130859
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/____EvoM1_TraitTable/EvoM1_read_sleep.R","SUCCESS","","2026-07-24 15:59:56.828529","2026-07-24 15:59:57.216573",0.388044118881226
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/____EvoM1_TraitTable/EvoM1_read_v1_karl.R","SUCCESS","","2026-07-24 15:59:57.21886","2026-07-24 15:59:57.880513",0.6616530418396
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/____EvoM1_TraitTable/EvoM1_read_vocal_manyprimates.R","SUCCESS","","2026-07-24 15:59:57.91197","2026-07-24 15:59:58.383063",0.47109317779541
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/____EvoM1_TraitTable/EvoM1_read_vocal_schniter.R","FAILED","Error in data.frame(species_sci = vapply(d$Species, resolve, character(1)),  : 
  arguments imply differing number of rows: 34, 0, 1
Execution halted","2026-07-24 15:59:58.403531","2026-07-24 15:59:59.189027",0.78549599647522
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/____EvoM1_TraitTable/EvoM1Gen_NoEstimates.R","FAILED","── Attaching core tidyverse packages ──────────────────────── tidyverse 2.0.0 ──
✔ dplyr     1.2.1     ✔ readr     2.2.0
✔ forcats   1.0.1     ✔ stringr   1.6.0
✔ ggplot2   4.0.3     ✔ tibble    3.3.1
✔ lubridate 1.9.5     ✔ tidyr     1.3.2
✔ purrr     1.2.2     
── Conflicts ────────────────────────────────────────── tidyverse_conflicts() ──
✖ dplyr::filter() masks stats::filter()
✖ dplyr::lag()    masks stats::lag()
ℹ Use the conflicted package (<http://conflicted.r-lib.org/>) to force all conflicts to become errors
There were 50 or more warnings (use warnings() to see the first 50)
<environment: R_GlobalEnv>
New names:
• `` -> `...78`
 [1] ""Homo sapiens""                    ""Pan troglodytes""                
 [3] ""Gorilla gorilla gorilla""         ""Macaca mulatta""                 
 [5] ""Macaca nemestrina""               ""Papio anubis""                   
 [7] ""Chlorocebus sabaeus""             ""Saimiri boliviensis boliviensis""
 [9] ""Sapajus apella""                  ""Callithrix jacchus""             
[11] ""Aotus nancymaae""                 ""Otolemur garnettii""             
[13] ""Microcebus murinus""              ""Tupaia belangeri""               
[15] ""Mus musculus""                    ""Rattus norvegicus""              
[17] ""Heterocephalus glaber""           ""Urocitellus parryii""            
[19] ""Oryctolagus cuniculus""           ""Mustela putorius furo""          
[21] ""Canis latrans""                   ""Felis catus""                    
[23] ""Sus scrofa""                      ""Dasypus novemcinctus""           
[25] ""Monodelphis domestica""           NA                               
[27] NA                                NA                               
Error in tsv_data_list[[i]] : subscript out of bounds
Calls: cat -> %in% -> colnames -> is.data.frame
Execution halted","2026-07-24 15:59:59.19875","2026-07-24 16:00:00.549115",1.35036492347717
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__energetics_comparison/energetics_comparison.R","SUCCESS","","2026-07-24 16:00:00.553121","2026-07-24 16:00:01.595458",1.04233694076538
"/Users/crossmodal/Library/CloudStorage/OneDrive-AllenInstitute/Species/Evo-M1-Trait-Data/__energetics_comparison/energetics_merged.R","SUCCESS","","2026-07-24 16:00:01.598846","2026-07-24 16:00:03.206205",1.60735893249512
