Species,measure_class,Measure,Team,role,Value
Acinonyx jubatus,gait,Duty_Factor,Wimberly,primary,70
Acinonyx jubatus,gait,Foot_Posture,Wimberly,primary,digitigrade
Acinonyx jubatus,gait,Gait,Wimberly,primary,LSLC
Acinonyx jubatus,gait,Phase,Wimberly,primary,18
Acrobates pygmaeus,gait,Duty_Factor,Wimberly,primary,55.35
Acrobates pygmaeus,gait,Foot_Posture,Wimberly,primary,plantigrade
Acrobates pygmaeus,gait,Gait,Wimberly,primary,LSDC
Acrobates pygmaeus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.46311620781614
Acrobates pygmaeus,gait,Phase,Wimberly,primary,50.19
Adapis parisiensis,manipulation,Tool_use,Baker,secondary,0
Adapis parisiensis,hand_morphology,log10_dp3_mm,Baker,primary,0.597695185925512
Adapis parisiensis,hand_morphology,log10_ip3_mm,Baker,primary,1.04805317311561
Adapis parisiensis,hand_morphology,log10_mc1_mm,Baker,primary,0.979092900638326
Adapis parisiensis,hand_morphology,log10_mc2_mm,Baker,primary,1.18098558078673
Adapis parisiensis,hand_morphology,log10_mc3_mm,Baker,primary,1.24204423936955
Adapis parisiensis,hand_morphology,log10_mc4_mm,Baker,primary,1.23468597432153
Adapis parisiensis,hand_morphology,log10_mc5_mm,Baker,primary,1.14519640611418
Adapis parisiensis,hand_morphology,log10_pp3_mm,Baker,primary,1.19117145572856
Aepyceros melampus,gait,Duty_Factor,Wimberly,primary,68
Aepyceros melampus,gait,Foot_Posture,Wimberly,primary,unguligrade
Aepyceros melampus,gait,Gait,Wimberly,primary,LSLC
Aepyceros melampus,gait,Phase,Wimberly,primary,19
Afropithecus turkanensis,manipulation,Tool_use,Baker,secondary,0
Afropithecus turkanensis,hand_morphology,log10_pp1_mm,Baker,primary,1.45178643552429
Ailuropoda melanoleuca,gait,Duty_Factor,Wimberly,primary,66.04377104
Ailuropoda melanoleuca,gait,Foot_Posture,Wimberly,primary,plantigrade
Ailuropoda melanoleuca,gait,Gait,Wimberly,primary,LSLC
Ailuropoda melanoleuca,gait,Phase,Wimberly,primary,20.16835
Ailurus fulgens,gait,Duty_Factor,Wimberly,primary,61.16666667
Ailurus fulgens,gait,Foot_Posture,Wimberly,primary,plantigrade
Ailurus fulgens,gait,Gait,Wimberly,primary,LSLC
Ailurus fulgens,gait,Phase,Wimberly,primary,20.41667
Alcelaphus buselaphus,gait,Duty_Factor,Wimberly,primary,72.41379310000001
Alcelaphus buselaphus,gait,Foot_Posture,Wimberly,primary,unguligrade
Alcelaphus buselaphus,gait,Gait,Wimberly,primary,LSLC
Alcelaphus buselaphus,gait,Phase,Wimberly,primary,18.96552
Allenopithecus nigroviridis,manipulation,Tool_use,Baker,secondary,0
Allenopithecus nigroviridis,hand_morphology,log10_mc2_mm,Baker,primary,1.45924166487808
Allenopithecus nigroviridis,hand_morphology,log10_mc3_mm,Baker,primary,1.47567118832443
Allenopithecus nigroviridis,hand_morphology,log10_mc4_mm,Baker,primary,1.43328968519503
Allochrocebus lhoesti,manipulation,Tool_use,Baker,secondary,0
Allochrocebus lhoesti,hand_morphology,log10_mc2_mm,Baker,primary,1.54294984881418
Allochrocebus lhoesti,hand_morphology,log10_mc3_mm,Baker,primary,1.55448916000382
Allochrocebus lhoesti,hand_morphology,log10_mc4_mm,Baker,primary,1.52348633234323
Alouatta belzebul,manipulation,Tool_use,Baker,secondary,0
Alouatta belzebul,hand_morphology,log10_dp1_mm,Baker,primary,1.09342168516224
Alouatta belzebul,hand_morphology,log10_ip2_mm,Baker,primary,1.22865695810894
Alouatta belzebul,hand_morphology,log10_ip3_mm,Baker,primary,1.3041672717244
Alouatta belzebul,hand_morphology,log10_ip4_mm,Baker,primary,1.32715451240943
Alouatta belzebul,hand_morphology,log10_mc1_mm,Baker,primary,1.316319878258
Alouatta belzebul,hand_morphology,log10_mc2_mm,Baker,primary,1.4367985102318
Alouatta belzebul,hand_morphology,log10_mc3_mm,Baker,primary,1.48201557645071
Alouatta belzebul,hand_morphology,log10_mc4_mm,Baker,primary,1.47402190538789
Alouatta belzebul,hand_morphology,log10_mc5_mm,Baker,primary,1.44855173920158
Alouatta belzebul,hand_morphology,log10_pp1_mm,Baker,primary,1.30934622202062
Alouatta belzebul,hand_morphology,log10_pp2_mm,Baker,primary,1.41580772763554
Alouatta belzebul,hand_morphology,log10_pp3_mm,Baker,primary,1.47769992833213
Alouatta belzebul,hand_morphology,log10_pp4_mm,Baker,primary,1.48948973196227
Alouatta caraya,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Alouatta caraya,locomotion,Intermembral_index,Granatosky,primary,97
Alouatta caraya,locomotion,Locomotor_diversity_index,Granatosky,primary,1.60859743143501
Alouatta caraya,manipulation,Tool_use,Baker,secondary,0
Alouatta caraya,hand_morphology,log10_ip3_mm,Baker,primary,1.30813737863804
Alouatta caraya,hand_morphology,log10_mc1_mm,Baker,primary,1.36172783601759
Alouatta caraya,hand_morphology,log10_mc4_mm,Baker,primary,1.55059520748933
Alouatta caraya,hand_morphology,log10_mc5_mm,Baker,primary,1.48995847942483
Alouatta caraya,hand_morphology,log10_pp3_mm,Baker,primary,1.48826861549546
Alouatta palliata,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Alouatta palliata,locomotion,Intermembral_index,Granatosky,primary,98
Alouatta palliata,locomotion,Locomotor_diversity_index,Granatosky,primary,1.18941283574095
Alouatta palliata,vocalization,VocalRepertoire,Schniter,primary,22
Alouatta palliatus,manipulation,Tool_use,Baker,secondary,0
Alouatta palliatus,hand_morphology,log10_dp1_mm,Baker,primary,1.10720996964787
Alouatta palliatus,hand_morphology,log10_ip3_mm,Baker,primary,1.31026836663245
Alouatta palliatus,hand_morphology,log10_ip4_mm,Baker,primary,1.36172783601759
Alouatta palliatus,hand_morphology,log10_mc1_mm,Baker,primary,1.32376758329678
Alouatta palliatus,hand_morphology,log10_mc2_mm,Baker,primary,1.47129171105894
Alouatta palliatus,hand_morphology,log10_mc3_mm,Baker,primary,1.5152113043278
Alouatta palliatus,hand_morphology,log10_mc4_mm,Baker,primary,1.49899936358015
Alouatta palliatus,hand_morphology,log10_mc5_mm,Baker,primary,1.44754562126701
Alouatta palliatus,hand_morphology,log10_pp1_mm,Baker,primary,1.35506820634885
Alouatta palliatus,hand_morphology,log10_pp3_mm,Baker,primary,1.50155218746609
Alouatta palliatus,hand_morphology,log10_pp4_mm,Baker,primary,1.52762990087134
Alouatta pigra,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Alouatta pigra,locomotion,Locomotor_diversity_index,Granatosky,primary,0.230466836328381
Alouatta seniculus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Alouatta seniculus,gait,Duty_Factor,Wimberly,primary,68.32675986
Alouatta seniculus,gait,Foot_Posture,Wimberly,primary,plantigrade
Alouatta seniculus,gait,Gait,Wimberly,primary,DSDC
Alouatta seniculus,locomotion,Intermembral_index,Granatosky,primary,97
Alouatta seniculus,locomotion,Locomotor_diversity_index,Granatosky,primary,0.600482908245825
Alouatta seniculus,gait,Phase,Wimberly,primary,56.89748148
Alouatta seniculus,manipulation,Tool_Manufacture,Baker,primary,1
Alouatta seniculus,manipulation,Tool_use,Baker,secondary,1
Alouatta seniculus,manipulation,True_Tool_Use,Baker,primary,1
Alouatta seniculus,hand_morphology,log10_dp1_mm,Baker,primary,1.11991541025799
Alouatta seniculus,hand_morphology,log10_dp2_mm,Baker,primary,1.03941411917614
Alouatta seniculus,hand_morphology,log10_ip2_mm,Baker,primary,1.27443077259293
Alouatta seniculus,hand_morphology,log10_ip3_mm,Baker,primary,1.33931891323648
Alouatta seniculus,hand_morphology,log10_ip4_mm,Baker,primary,1.3458244569982
Alouatta seniculus,hand_morphology,log10_mc1_mm,Baker,primary,1.33439091464906
Alouatta seniculus,hand_morphology,log10_mc2_mm,Baker,primary,1.48127908446486
Alouatta seniculus,hand_morphology,log10_mc3_mm,Baker,primary,1.52501662348241
Alouatta seniculus,hand_morphology,log10_mc4_mm,Baker,primary,1.50130248034113
Alouatta seniculus,hand_morphology,log10_mc5_mm,Baker,primary,1.44983724551267
Alouatta seniculus,hand_morphology,log10_pp1_mm,Baker,primary,1.30802343170697
Alouatta seniculus,hand_morphology,log10_pp2_mm,Baker,primary,1.46601787390354
Alouatta seniculus,hand_morphology,log10_pp3_mm,Baker,primary,1.51045564000733
Alouatta seniculus,hand_morphology,log10_pp4_mm,Baker,primary,1.50574672306446
