Species,Standardized_Term,value,source,trait_class,status
Condylura cristata,n_cortical_areas,3,Changizi__2001_Figure3,whole_cortex,superseded_by_Changizi_Shimojo_2005
Atelerix albiventris,n_cortical_areas,6,Changizi__2001_Figure3,whole_cortex,superseded_by_Changizi_Shimojo_2005
Echinops telfairi,n_cortical_areas,6,Changizi__2001_Figure3,whole_cortex,superseded_by_Changizi_Shimojo_2005
Tachyglossus aculeatus,n_cortical_areas,10,Changizi__2001_Figure3,whole_cortex,superseded_by_Changizi_Shimojo_2005
Didelphis marsupialis,n_cortical_areas,10,Changizi__2001_Figure3,whole_cortex,superseded_by_Changizi_Shimojo_2005
Dasyurus hallucatus,n_cortical_areas,10,Changizi__2001_Figure3,whole_cortex,superseded_by_Changizi_Shimojo_2005
Sciurus carolinensis,n_cortical_areas,14,Changizi__2001_Figure3,whole_cortex,superseded_by_Changizi_Shimojo_2005
Callithrix jacchus,n_cortical_areas,21,Changizi__2001_Figure3,whole_cortex,superseded_by_Changizi_Shimojo_2005
Felis catus,n_cortical_areas,23,Changizi__2001_Figure3,whole_cortex,superseded_by_Changizi_Shimojo_2005
Aotus trivirgatus,n_cortical_areas,28,Changizi__2001_Figure3,whole_cortex,superseded_by_Changizi_Shimojo_2005
Macaca mulatta,n_cortical_areas,28,Changizi__2001_Figure3,whole_cortex,superseded_by_Changizi_Shimojo_2005
Homo sapiens,n_cortical_areas,50,Changizi__2001_Figure3,whole_cortex,active
Aotus trivirgatus,n_visual_areas,23,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Blarina brevicauda,n_visual_areas,1,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Callithrix jacchus,n_visual_areas,19,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Cryptotis parva,n_visual_areas,1,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Dactylopsila trivirgata,n_visual_areas,2,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Dasyurus hallucatus,n_visual_areas,2,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Didelphis marsupialis,n_visual_areas,4,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Echinops telfairi,n_visual_areas,2,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Erinaceus europaeus,n_visual_areas,2,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Felis catus,n_visual_areas,15,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Galago sp.,n_visual_areas,13,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Macaca mulatta,n_visual_areas,32,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Monodelphis domestica,n_visual_areas,3.5,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Mus sp.,n_visual_areas,3,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Pteropus poliocephalus,n_visual_areas,6.5,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Rattus sp.,n_visual_areas,4,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Saimiri sciureus,n_visual_areas,20,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Sminthopsis crassicaudata,n_visual_areas,2,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Sorex cinereus,n_visual_areas,1,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Sorex longirostris,n_visual_areas,1,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Sorex palustris,n_visual_areas,1,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Sciurus carolinensis,n_visual_areas,7,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Trichosurus vulpecula,n_visual_areas,2,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Tupaia belangeri,n_visual_areas,8,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Aotus trivirgatus,n_somatomotor_areas,13,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Blarina brevicauda,n_somatomotor_areas,3,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Callithrix jacchus,n_somatomotor_areas,11,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Cryptotis parva,n_somatomotor_areas,3,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Dactylopsila trivirgata,n_somatomotor_areas,6,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Dasyurus hallucatus,n_somatomotor_areas,5,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Didelphis marsupialis,n_somatomotor_areas,5,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Echinops telfairi,n_somatomotor_areas,3,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Erinaceus europaeus,n_somatomotor_areas,6,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Felis catus,n_somatomotor_areas,15,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Galago sp.,n_somatomotor_areas,11,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Macaca mulatta,n_somatomotor_areas,22,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Monodelphis domestica,n_somatomotor_areas,3,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Mus sp.,n_somatomotor_areas,6,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Pteropus poliocephalus,n_somatomotor_areas,8,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Rattus sp.,n_somatomotor_areas,7,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Saimiri sciureus,n_somatomotor_areas,10,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Sminthopsis crassicaudata,n_somatomotor_areas,3,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Sorex cinereus,n_somatomotor_areas,3,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Sorex longirostris,n_somatomotor_areas,3,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Sorex palustris,n_somatomotor_areas,3,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Sciurus carolinensis,n_somatomotor_areas,7,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Trichosurus vulpecula,n_somatomotor_areas,5,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Aotus trivirgatus,n_cortical_areas,36,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Blarina brevicauda,n_cortical_areas,4,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Callithrix jacchus,n_cortical_areas,30,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Cryptotis parva,n_cortical_areas,4,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Dactylopsila trivirgata,n_cortical_areas,8,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Dasyurus hallucatus,n_cortical_areas,7,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Didelphis marsupialis,n_cortical_areas,9,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Echinops telfairi,n_cortical_areas,5,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Erinaceus europaeus,n_cortical_areas,8,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Felis catus,n_cortical_areas,30,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Galago sp.,n_cortical_areas,24,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Macaca mulatta,n_cortical_areas,54,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Monodelphis domestica,n_cortical_areas,6.5,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Mus sp.,n_cortical_areas,9,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Pteropus poliocephalus,n_cortical_areas,14.5,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Rattus sp.,n_cortical_areas,11,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Saimiri sciureus,n_cortical_areas,30,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Sminthopsis crassicaudata,n_cortical_areas,5,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
Sorex cinereus,n_cortical_areas,4,Finlay_etal_2006_Table6.1,whole_cortex,flagged_pending_ProjectKaskan_check
