"canonical_specimen","record_type","specimen_kind","access_class","evidence_source_ids","specimen_name","primary_identifier","alternate_identifiers","collection","source_publication","item_reference","printed_name","published_taxon","resolved_taxon","taxon_concept","taxon_conflict","match","sex","note"
"PONGO-HARRY","specimen","historical_biological_specimen","public","PUB_MACLEOD_2000","Harry","OY 1148","HARRY 2/97; OY 1148","Zilles/Semendeferi (ex Yerkes)","MacLeod_2000","MacLeod_2000_APPENDIXI","PONGO PYGMAEUS; ZILLES(SEMEND.); HARRY (2/97)","Pongo pygmaeus",NA,"Pongo pygmaeus (s.l.)",FALSE,"MacLeod-only","M","MacLeod 2000 Appendix I: brain 440 g, fixed vol 186.11 cc. No modern Bornean/Sumatran assignment on record."
"PONGO-BRIGGS","specimen","historical_biological_specimen","public","PUB_MACLEOD_2000","Briggs","6728","BR. 5/97; OHDZ; 6728","Zilles/Semendeferi (ex Yerkes)","MacLeod_2000","MacLeod_2000_APPENDIXI","PONGO PYGMAEUS; ZILLES(SEMEND.); BRIGGS (5/97)","Pongo pygmaeus",NA,"Pongo pygmaeus (s.l.)",FALSE,"MacLeod-only","M","MacLeod 2000 Appendix I: brain 345 g, fixed vol 154.89 cc."
"PONGO-0475","specimen","historical_biological_specimen","public","PUB_MACLEOD_2000",NA,"0475","0475; A79","Zilles","MacLeod_2000","MacLeod_2000_APPENDIXI","PONGO (ZILLES)+A79","Pongo pygmaeus",NA,"Pongo pygmaeus (s.l.)",FALSE,"MacLeod-only","F","MacLeod 2000 Appendix I: fixed vol 107.6 cc. Not obviously matched to a catalog house name."
"PONGO-YN85-38","specimen","historical_biological_specimen","public","PUB_MACLEOD_2000",NA,"YN85-38","YN85-38","Zilles/Semendeferi (ex Yerkes; Kanting)","MacLeod_2000","MacLeod_2000_APPENDIXI","PONGO PYGMAEUS; ABELII; ZILLES (SEMEND.)","Pongo pygmaeus","Pongo abelii","Pongo pygmaeus (s.l.)",TRUE,"matched","M","THE pygmaeus->abelii case: the printed record carries both 'PONGO PYGMAEUS' and 'ABELII'. Resolved to Pongo abelii (Sumatran); brain 369 g and fixed volume 216.3 cc are printed in MacLeod 2000 Appendix I."
"Qafzeh 9","specimen","fossil_specimen","public","PUB_KOCHIYAMA_2018","Qafzeh 9","Qafzeh 9",NA,"fossil hominin (Skhul-Qafzeh, Israel)","Kochiyama_etal_2018_FossilSpecimensText","Kochiyama_etal_2018_FossilSpecimensText","early Homo sapiens","Homo sapiens","Homo sapiens","Homo sapiens (early/fossil)",FALSE,"Kochiyama-only",NA,"Late Pleistocene EH grade. Date ~90-120 ka (mean 105 ka). Kochiyama cerebrum 1075 cc, cerebellum 147 cc (GM+WM reconstructed by deforming MRI brains onto endocast). No specimen in Weaver A-15. FOSSIL: never pool into the extant 'Homo sapiens' species mean."
"Skhul 5","specimen","fossil_specimen","public","PUB_KOCHIYAMA_2018","Skhul 5","Skhul 5",NA,"fossil hominin (Skhul-Qafzeh, Israel)","Kochiyama_etal_2018_FossilSpecimensText","Kochiyama_etal_2018_FossilSpecimensText","early Homo sapiens","Homo sapiens","Homo sapiens","Homo sapiens (early/fossil)",FALSE,"Kochiyama-only",NA,"Late Pleistocene EH grade. Date ~100-135 ka (mean 117.5 ka). Kochiyama cerebrum 1053 cc, cerebellum 146 cc. No specimen in Weaver A-15. FOSSIL: keep out of the extant 'Homo sapiens' mean."
"Mladeč 1","specimen","fossil_specimen","public","PUB_KOCHIYAMA_2018","Mladeč 1","Mladeč 1",NA,"fossil hominin (Mladeč, Czechia)","Kochiyama_etal_2018_FossilSpecimensText","Kochiyama_etal_2018_FossilSpecimensText","early Homo sapiens","Homo sapiens","Homo sapiens","Homo sapiens (early/fossil)",FALSE,"Kochiyama-only",NA,"Early Upper Palaeolithic EH grade. Date ~35 ka (point estimate). Kochiyama cerebrum 1205 cc, cerebellum 165 cc. No specimen in Weaver A-15. FOSSIL: keep out of the extant 'Homo sapiens' mean."
"Cro-Magnon 1","specimen","fossil_specimen","public","PUB_KOCHIYAMA_2018","Cro-Magnon 1","Cro-Magnon 1",NA,"fossil hominin (Cro-Magnon, France)","Kochiyama_etal_2018_FossilSpecimensText","Kochiyama_etal_2018_FossilSpecimensText","early Homo sapiens","Homo sapiens","Homo sapiens","Homo sapiens (early/fossil)",FALSE,"matched",NA,"Early Upper Palaeolithic EH grade. Date ~32 ka (point estimate). Kochiyama cerebrum 1208 cc, cerebellum 156 cc. Also in Weaver A-15 (group 13-EMH). FOSSIL: keep out of the extant 'Homo sapiens' mean."
"Cro-Magnon 1","specimen","fossil_specimen","public","PUB_WEAVER_2001","Cro-Magnon 1","Cro-Magnon 1",NA,"fossil hominin (Cro-Magnon, France)","Weaver__2001","Weaver__2001_TableA-15","early Homo sapiens (Early Modern Homo)","Homo sapiens","Homo sapiens","Homo sapiens (early/fossil)",FALSE,"matched",NA,"Weaver group 13-EMH. Cerebellum 118.92 cc from 3D virtual endocast; brain mass 1477.34 g. Method differs from Kochiyama (endocast vs MRI-deformation); see fossil_specimen_cerebellum_comparison.csv."
"Amud 1","specimen","fossil_specimen","public","PUB_KOCHIYAMA_2018","Amud 1","Amud 1",NA,"fossil hominin (Amud, Israel)","Kochiyama_etal_2018_FossilSpecimensText","Kochiyama_etal_2018_FossilSpecimensText","Neanderthal","Homo neanderthalensis","Homo neanderthalensis","Homo neanderthalensis",FALSE,"Kochiyama-only",NA,"Neanderthal. Date ~50-70 ka (mean 60 ka). Kochiyama cerebrum 1304 cc, cerebellum 182 cc. No specimen in Weaver A-15. FOSSIL (extinct sister species); never merge into any extant Homo sapiens mean."
